,GAUL,Year,NDVI
1109,92,2010,0.5823057576472331
1110,92,2011,0.54526731023656
1111,92,2012,0.5594564079264962
1112,92,2013,0.5647168667671357
1113,92,2014,
1114,92,2015,
1115,92,2016,
1116,92,2017,
1117,92,2018,
1118,92,2019,
1119,92,2020,
1120,93,2001,0.6535095635194413
1121,93,2002,0.6522861991431022
1122,93,2003,0.6202553728820406
1123,93,2004,0.6406721998963337
1124,93,2005,0.6612032452268145
1125,93,2006,0.6378993040150114
1126,93,2007,0.6823994211014072
1127,93,2008,0.6491884690441415
1128,93,2009,0.6380138883857019
1129,93,2010,0.5842970102614337
1130,93,2011,0.6711594484047524
1131,93,2012,0.6550563372537227
1132,93,2013,0.6267792875805528
1133,93,2014,
1134,93,2015,
1135,93,2016,
1136,93,2017,
1137,93,2018,
1138,93,2019,
1139,93,2020,
1140,94,2001,0.5378642890043613
1141,94,2002,0.5498113658410296
1142,94,2003,0.550471549063718
1143,94,2004,0.5234363738767639
1144,94,2005,0.5245434992386472
1145,94,2006,0.5536958895444691
1146,94,2007,0.5306835307707313
1147,94,2008,0.535924528973844
1148,94,2009,0.5458881201489794
1149,94,2010,0.549666102755013
1150,94,2011,0.5513586551093771
1151,94,2012,0.545238758968187
1152,94,2013,0.5414592831051414
1153,94,2014,
1154,94,2015,
1155,94,2016,
1156,94,2017,
1157,94,2018,
1158,94,2019,
1159,94,2020,
1160,97,2001,0.4777955567367865
1161,97,2002,0.480255359326303
1162,97,2003,0.4830459383179817
1163,97,2004,0.4812360137057026
1164,97,2005,0.4817332223320358
1165,97,2006,0.4869113645141004
1166,97,2007,0.49965034507241396
1167,97,2008,0.4884557661600087
1168,97,2009,0.4873242738931605
1169,97,2010,0.49885664119564727
1170,97,2011,0.5154071156551142
1171,97,2012,0.4972289920519433
1172,97,2013,0.513149010940728
1173,97,2014,
1174,97,2015,
1175,97,2016,
1176,97,2017,
1177,97,2018,
1178,97,2019,
1179,97,2020,
1180,103,2001,0.7257422049340677
1181,103,2002,0.7256036749767126
1182,103,2003,0.7141841119493484
1183,103,2004,0.7302200404519267
1184,103,2005,0.7185257186052411
1185,103,2006,0.7180713262608385
1186,103,2007,0.7265507150240446
1187,103,2008,0.7220744954887307
1188,103,2009,0.7331120736804145
1189,103,2010,0.7333693805197363
1190,103,2011,0.7223048458644712
1191,103,2012,0.7336325434778098
1192,103,2013,0.7077302470316423
1193,103,2014,
1194,103,2015,
1195,103,2016,
1196,103,2017,
1197,103,2018,
1198,103,2019,
1199,103,2020,
1200,107,2001,0.7449279106427266
1201,107,2002,0.7418327131219739
1202,107,2003,0.7386821137884082
1203,107,2004,0.758017444190736
1204,107,2005,0.7602198510157248
1205,107,2006,0.7402759149236474
1206,107,2007,0.7197006848175485
1207,107,2008,0.7064176269333631
1208,107,2009,0.7431356133194867
1209,107,2010,0.7429785093520481
1210,107,2011,0.7477160269709843
1211,107,2012,0.7343019077974796
1212,107,2013,0.7331528349774247
1213,107,2014,
1214,107,2015,
1215,107,2016,
1216,107,2017,
1217,107,2018,
1218,107,2019,
1219,107,2020,
1220,108,2001,0.606358038704559
1221,108,2002,0.6031440450677669
1222,108,2003,0.6065268700619756
1223,108,2004,0.6022222244664958
1224,108,2005,0.6044964475959662
1225,108,2006,0.6089365929279967
1226,108,2007,0.626973356566744
1227,108,2008,0.620170530513423
1228,108,2009,0.6250689118878684
1229,108,2010,0.6421565898778171
1230,108,2011,0.6409335422476954
1231,108,2012,0.6258172469431983
1232,108,2013,0.6160014759124057
1233,108,2014,
1234,108,2015,
1235,108,2016,
1236,108,2017,
1237,108,2018,
1238,108,2019,
1239,108,2020,
1240,111,2001,0.6971967948032987
1241,111,2002,0.7016909095151108
1242,111,2003,0.692425564511692
1243,111,2004,0.7022377527160181
1244,111,2005,0.7016806358085717
1245,111,2006,0.6959259513509318
1246,111,2007,0.7106285586524196
1247,111,2008,0.6887268018647759
1248,111,2009,0.7180622885579687
1249,111,2010,0.7084084022042587
1250,111,2011,0.686168460638885
1251,111,2012,0.7074448684536128
1252,111,2013,0.6933652666769321
1253,111,2014,
1254,111,2015,
1255,111,2016,
1256,111,2017,
1257,111,2018,
1258,111,2019,
1259,111,2020,
